ID,Control,Highest degree offered,ACT Composite score (75th percentile),Tuition and fees 2013-14 ($),Admission rate (%)
C1320,Public,Doctoral degree,25,7457,73
C1321,Public,Doctoral degree,19,7946,45
C1322,Public,Doctoral degree,27,7517,66
C1323,Private,Doctoral degree,22,22040,30
C1324,Public,Doctoral degree,23,7339,86
C1325,Private,Master's degree,31,34678,64
C1326,Private,Master's degree,23,12550,99
C1327,Public,Doctoral degree,24,6500,74
C1328,Private,Bachelor's degree,,11382,
C1329,Private,Doctoral degree,31,4850,49
C1330,Private,Bachelor's degree,26,4770,36
C1331,Public,Bachelor's degree,,4291,
C1332,Public,Master's degree,26,5924,57
C1333,Private,Bachelor's degree,,16100,
C1334,Private,Bachelor's degree,,16972,
C1335,Public,Doctoral degree,27,6030,97
C1336,Public,Master's degree,,5086,
C1337,Public,Doctoral degree,27,7457,82
C1338,Public,Master's degree,,4990,
C1339,Private,Master's degree,28,29500,75
C1340,Private,Master's degree,,45080,65
C1341,Private,Master's degree,,22885,83
C1342,Public,Master's degree,23,10286,92
C1343,Private,Master's degree,28,31350,71
C1344,Private,Master's degree,,14930,100
C1345,Private,Master's degree,,32192,76
C1346,Public,Master's degree,23,10286,97
C1347,Public,Master's degree,21,10286,99
C1348,Private,Master's degree,,38110,76
C1349,Private,Doctoral degree,33,45314,17
C1350,Private,Master's degree,26,33371,63
C1351,Private,Master's degree,28,39015,75
C1352,Private,Master's degree,,,
C1353,Private,Master's degree,18,21100,68
C1354,Private,Bachelor's degree,20,22000,99
C1355,Private,Bachelor's degree,,29894,94
C1356,Public,Bachelor's degree,21,12494,83
C1357,Public,Doctoral degree,29,15718,78
C1358,Private,Master's degree,22,27500,63
C1359,Private,Master's degree,21,22390,57
C1360,Private,Bachelor's degree,25,29090,55
C1361,Public,Doctoral degree,32,15463,33
C1362,Private,Doctoral degree,25,15838,85
C1363,Public,Master's degree,28,11092,59
C1364,Private,Master's degree,25,28966,66
C1365,Private,Master's degree,25,29350,65
C1366,Private,Bachelor's degree,20,28585,74
C1367,Public,Doctoral degree,28,9908,62
C1368,Private,Bachelor's degree,27,37352,55
C1369,Private,Doctoral degree,23,20724,36
C1370,Private,Master's degree,27,33320,69
C1371,Public,Doctoral degree,27,9176,64
C1372,Private,Doctoral degree,26,20768,22
C1373,Public,Master's degree,23,11340,81
C1374,Private,Doctoral degree,24,33565,64
C1375,Private,Master's degree,25,28720,88
C1376,Public,Master's degree,26,9720,81
C1377,Private,Doctoral degree,24,26430,83
C1378,Public,Doctoral degree,20,7126,65
C1379,Public,Doctoral degree,23,8550,77
C1380,Public,Doctoral degree,22,8976,78
C1381,Private,Bachelor's degree,26,34850,64
C1382,Private,Master's degree,28,32850,83
C1383,Private,Doctoral degree,31,45320,31
C1384,Private,Bachelor's degree,26,36597,73
C1385,Private,Doctoral degree,26,29934,85
C1386,Private,Bachelor's degree,26,18900,100
C1387,Private,Master's degree,27,33605,84
C1388,Public,Bachelor's degree,22,8509,74
C1389,Private,Bachelor's degree,22,24642,96
C1390,Public,Doctoral degree,,11455,70
C1391,Public,Doctoral degree,26,12002,69
C1392,Public,Doctoral degree,33,12668,30
C1393,Public,Bachelor's degree,27,14404,47
C1394,Public,Doctoral degree,18,7784,95
C1395,Private,Doctoral degree,17,15130,58
C1396,Private,Bachelor's degree,24,32482,93
C1397,Private,Doctoral degree,33,44507,18
C1398,Public,Master's degree,23,8976,82
C1399,Private,Doctoral degree,,14880,
C1400,Public,Doctoral degree,23,7961,80
C1401,Public,Master's degree,27,8574,97
C1402,Private,Doctoral degree,29,35062,67
C1403,Private,Master's degree,,17744,
C1404,Private,Bachelor's degree,,27042,96
C1405,Private,Doctoral degree,28,25934,97
C1406,Private,Master's degree,28,34740,77
C1407,Private,Doctoral degree,30,41868,85
C1408,Private,Master's degree,25,30284,88
C1409,Private,Doctoral degree,28,33813,72
C1410,Private,Doctoral degree,29,36465,73
C1411,Private,Master's degree,27,25377,93
C1412,Public,Doctoral degree,25,12327,82
C1413,Public,Doctoral degree,30,12397,55
C1414,Public,Master's degree,28,8863,84
C1415,Private,Bachelor's degree,32,43500,57
C1416,Private,Master's degree,,36012,65
C1417,Private,Master's degree,24,22740,43
C1418,Private,Master's degree,24,25736,49
C1419,Public,Bachelor's degree,21,5564,43
C1420,Private,Doctoral degree,24,19650,69
C1421,Public,Master's degree,24,6160,46
C1422,Private,Bachelor's degree,23,24992,57
C1423,Public,Master's degree,23,5824,66
C1424,Public,Bachelor's degree,21,6384,74
C1425,Public,Doctoral degree,24,6216,79
C1426,Private,Master's degree,23,18750,36
C1427,Public,Bachelor's degree,,2712,
C1428,Public,Master's degree,24,6256,81
C1429,Public,Master's degree,22,5932,45
C1430,Public,Master's degree,24,6226,71
C1431,Public,Bachelor's degree,24,5808,51
C1432,Private,Master's degree,25,26794,77
C1433,Public,Doctoral degree,26,6456,85
C1434,Private,Doctoral degree,24,27830,69
C1435,Private,Master's degree,23,23231,79
C1436,Private,Bachelor's degree,30,41250,68
C1437,Private,Doctoral degree,24,25450,84
C1438,Private,Doctoral degree,26,27724,81
C1439,Private,Master's degree,27,34850,70
C1440,Private,Doctoral degree,25,25160,70
C1441,Private,Doctoral degree,25,24666,77
C1442,Private,Master's degree,24,22950,66
C1443,Private,Bachelor's degree,,41226,73
C1444,Private,Master's degree,26,13120,71
C1445,Private,Doctoral degree,22,24650,76
C1446,Private,Doctoral degree,29,34640,57
C1447,Private,Master's degree,30,34470,68
C1448,Private,Doctoral degree,23,25098,54
C1449,Private,Doctoral degree,,13380,
C1450,Private,Bachelor's degree,27,29990,59
C1451,Private,Bachelor's degree,28,31604,75
C1452,Private,Master's degree,27,31866,82
C1453,Private,Master's degree,23,23180,60
C1454,Private,Doctoral degree,26,23330,71
C1455,Public,Master's degree,24,7578,85
C1456,Public,Doctoral degree,26,8710,76
C1457,Public,Master's degree,25,7676,85
C1458,Public,Doctoral degree,26,8769,72
C1459,Private,Master's degree,27,24770,64
C1460,Public,Doctoral degree,24,7401,81
C1461,Public,Master's degree,23,7316,75
C1462,Public,Master's degree,24,8968,89
C1463,Public,Master's degree,24,7946,89
C1464,Public,Doctoral degree,30,10403,68
C1465,Public,Doctoral degree,24,9300,86
C1466,Public,Master's degree,25,7484,96
C1467,Public,Master's degree,24,7720,87
C1468,Public,Doctoral degree,25,7577,83
C1469,Public,Doctoral degree,27,4404,96
C1470,Private,Doctoral degree,34,43683,6
C1471,Public,Doctoral degree,30,9992,60
C1472,Private,Bachelor's degree,,15840,
C1473,Private,Master's degree,,46286,82
C1474,Private,Master's degree,,,
C1475,Private,Doctoral degree,,,
C1476,Private,Doctoral degree,,,
C1477,Private,Doctoral degree,,20595,79
C1478,Private,Master's degree,,,
C1479,Private,Master's degree,,15688,
C1480,Private,Doctoral degree,,8800,100
C1481,Public,Bachelor's degree,30,6866,61
C1482,Private,Doctoral degree,,,
C1483,Public,Bachelor's degree,,14940,
C1484,Public,Master's degree,23,6649,63
C1485,Private,Master's degree,,12740,83
C1486,Private,Bachelor's degree,,16950,76
C1487,Public,Master's degree,23,11911,76
C1488,Public,Doctoral degree,23,11902,85
C1489,Private,Bachelor's degree,,8100,
C1490,Private,Bachelor's degree,,31496,65
C1491,Private,Master's degree,,15400,91
C1492,Private,Master's degree,29,29144,43
C1493,Private,Bachelor's degree,,8100,
C1494,Private,Bachelor's degree,,8100,
C1495,Private,Bachelor's degree,,8100,
C1496,Private,Bachelor's degree,,15840,
C1497,Public,Master's degree,24,5963,44
C1498,Private,Bachelor's degree,,8100,
C1499,Private,Doctoral degree,,10800,
C1500,Private,Bachelor's degree,,27456,65
C1501,Private,Master's degree,,9840,30
C1502,Private,Master's degree,,,
C1503,Private,Master's degree,,6070,
C1504,Public,Doctoral degree,24,6118,66
C1505,Private,Bachelor's degree,,10700,98
C1506,Private,Bachelor's degree,,15840,
C1507,Private,Master's degree,,21600,
C1508,Private,Master's degree,,27456,78
C1509,Private,Master's degree,,,
C1510,Public,Master's degree,21,5706,61
C1511,Public,Bachelor's degree,,4482,50
C1512,Public,Master's degree,23,6471,64
C1513,Private,Bachelor's degree,,8100,
C1514,Private,Bachelor's degree,,,
C1515,Private,Master's degree,,,
C1516,Private,Bachelor's degree,,27456,60
C1517,Private,Doctoral degree,26,23000,60
C1518,Private,Master's degree,,23900,
C1519,Private,Bachelor's degree,,16795,
C1520,Private,Master's degree,,,
C1521,Public,Bachelor's degree,,5246,
C1522,Private,Master's degree,,9065,
C1523,Private,Master's degree,,8160,
C1524,Private,Bachelor's degree,,17211,
C1525,Private,Bachelor's degree,,,
C1526,Public,Master's degree,25,5820,44
C1527,Private,Doctoral degree,,9486,
C1528,Private,Master's degree,,,
C1529,Private,Master's degree,,,
C1530,Public,Master's degree,25,5587,35
C1531,Private,Bachelor's degree,28,31300,71
C1532,Private,Master's degree,,,
C1533,Private,Bachelor's degree,,24222,53
C1534,Private,Master's degree,,10920,
