ID,Endowment assets ($),Receiving financial aid (%),Tuition and fees 2010-11 ($),Tuition and fees 2011-12 ($),Tuition and fees 2012-13 ($),Tuition and fees 2013-14 ($),Degree of urbanization,Geographic region
C1442,5260,99,19640,20230,21242,22950,Rural: Fringe,Great Lakes
C0615,27624,99,16390,17526,17950,18454,Suburb: Large,Great Lakes
C1459,16388,100,21960,22830,23620,24770,City: Large,Great Lakes
C1505,,99,10700,10700,10700,10700,Suburb: Large,Great Lakes
C1119,9991,83,13250,13636,13900,14240,Suburb: Midsize,Mid East
C1470,1215932,66,40172,41564,42225,43683,Suburb: Large,Far West
C0912,5852,73,4797,5364,5869,6143,City: Small,Southeast
C0318,33860,99,28224,29733,31071,32613,City: Midsize,Great Lakes
C1181,21272,92,31450,32800,33950,34950,Suburb: Large,New England
C0699,417948,55,40369,41992,43705,44841,Suburb: Large,Plains
C0457,19422,100,19015,20079,21025,22000,Town: Remote,Southeast
C0375,87994,98,31020,32000,33280,34600,Suburb: Large,Great Lakes
C1287,3907,89,7306,7989,8357,8745,City: Midsize,Southwest
C1330,26362,78,4330,4450,4630,4770,Town: Fringe,Far West
C0825,6276,100,24010,25235,26505,27465,Town: Distant,Mid East
C0748,3643,98,25602,26890,27890,29000,Suburb: Large,Mid East
C0622,10458,99,28864,30418,31942,33209,City: Large,Plains
C0288,49328,99,25424,26704,28284,29664,City: Midsize,Great Lakes
C0742,2123,89,9906,11518,12560,12610,Town: Remote,New England
C0959,4742,99,6076,6197,6334,6516,Town: Remote,Plains
C0037,4163,83,7672,8826,9272,9738,City: Small,Southwest
C0609,4275,89,9420,9788,10250,10614,City: Small,Great Lakes
C0665,5069,96,5452,5834,6336,6744,City: Small,Southeast
C1290,1755,89,5109,5352,5488,5372,City: Midsize,Southwest
C0883,6137,79,6231,6559,6896,7230,Town: Remote,Mid East
C0008,10736,90,6620,7580,8150,8750,City: Midsize,Southeast
C1195,60083,100,26775,28460,29790,31580,Rural: Distant,Southeast
C0143,233,92,4971,5627,6448,7449,Town: Remote,Rocky Mountains
C0566,462144,73,38898,40070,41460,43114,Suburb: Large,New England
C0216,48576,75,37836,39654,41220,42852,Suburb: Large,Southeast
C0441,6393,89,5520,5808,6096,6276,Town: Distant,Southeast
C0392,20907,88,6997,7486,7726,7726,City: Small,Plains
C0099,3713,99,23904,24790,25336,25716,City: Large,Far West
C0127,5770,62,5206,6578,6578,6766,City: Large,Far West
C1472,46,96,12240,13200,15020,15840,City: Midsize,Southeast
C1437,2498,100,22750,23330,24330,25450,Suburb: Large,Great Lakes
C0275,1992,79,8095,9100,9404,9904,City: Large,Far West
C0784,20248,96,27900,28460,29320,30800,Suburb: Large,Mid East
C0163,4351,84,7861,8055,8321,8706,Suburb: Large,New England
C0700,8984,97,21748,22400,23070,23760,Suburb: Large,Plains
C0651,776,95,7244,7743,8074,8074,Town: Remote,Plains
C0793,415,95,16720,16720,17230,17530,City: Large,Mid East
C0893,991,84,14050,14550,14850,15250,City: Large,Mid East
C0827,5940,97,30162,31606,32818,34120,City: Large,Mid East
C1023,2077,76,4456,4718,5092,5437,Suburb: Large,Southwest
C0647,6510,96,20870,21470,22100,22430,Rural: Fringe,Plains
C1135,11209,92,12730,13102,13356,13464,Suburb: Large,Mid East
C0333,6447,88,10468,11038,11528,12093,City: Small,Great Lakes
C1496,43,100,12866,13200,15020,15840,City: Midsize,Southeast
C1471,55060,66,9070,9478,9900,9992,Suburb: Midsize,Great Lakes
C0987,60126,95,24800,25700,26650,27380,Town: Fringe,Great Lakes
C0055,54781,99,19820,20630,21440,22370,Town: Distant,Southeast
C0336,27947,100,23370,24610,25840,26830,Suburb: Large,Great Lakes
C0956,5036,91,5637,5763,5920,6086,Town: Remote,Plains
C1441,14991,100,21988,22850,23740,24666,City: Midsize,Great Lakes
C0167,2472,82,8350,8555,8911,9376,Town: Fringe,New England
C0315,47043,100,27525,28612,28612,28644,City: Small,Great Lakes
C1433,15289,89,5406,5674,6090,6456,City: Small,Southeast
C1183,15079,100,19950,20910,21730,22790,City: Small,Southeast
C1334,,100,14867,15858,16795,16972,City: Small,Rocky Mountains
C0541,2349,90,7800,8300,8710,8985,Suburb: Midsize,New England
C1103,292362,63,39815,41358,42980,44670,Suburb: Large,Mid East
C1141,357306,62,40514,42098,43738,45890,City: Large,Mid East
C1217,18673,99,19932,20656,22130,22892,Town: Remote,Plains
C1051,24288,68,8190,8789,9310,9763,City: Midsize,Far West
C0031,2108,79,5130,5380,5740,5693,Town: Remote,Far West
C0571,130838,44,41598,42962,44666,46598,Suburb: Large,New England
C0368,545295,69,39919,41417,42971,44605,Suburb: Large,Great Lakes
C0449,5148,99,6492,6942,7284,7498,Town: Remote,Southeast
C1361,84573,53,12188,13132,13570,15463,Suburb: Small,Southeast
C0168,57869,89,39040,40580,41690,42920,Suburb: Large,New England
C0128,46387,76,37372,38582,39970,41392,City: Large,Far West
C0801,17183,79,4929,5459,5759,6089,City: Large,Mid East
C0381,48494,98,26306,27226,28314,29448,Town: Remote,Plains
C0804,483,77,4929,5459,5759,6059,City: Large,Mid East
C0351,1504,100,20700,22900,23900,25450,Suburb: Large,Great Lakes
C0090,4413,68,5294,6536,6536,6536,City: Midsize,Far West
C0885,4926,91,6183,6506,6842,7174,Town: Remote,Mid East
C0460,44901,99,13880,14770,14770,16094,City: Large,Southeast
C0142,10517,79,29132,29994,31444,33150,City: Large,Far West
C1277,13531,97,12430,12430,13054,13494,City: Large,Southwest
C0256,24270,100,30560,31548,32466,33120,City: Small,Southeast
C0578,888422,65,41434,43190,44920,46600,Town: Fringe,New England
C0510,3328,95,6727,6928,7012,7218,City: Large,Mid East
C0982,27395,100,25674,26550,27368,27368,Suburb: Large,Great Lakes
C1461,1288,83,6619,6930,7287,7316,Suburb: Midsize,Great Lakes
C1425,8586,94,5285,5648,5930,6216,City: Small,Southeast
C0564,34745,97,32230,33356,34350,35380,City: Large,New England
C0663,20934,93,5461,5805,6264,6772,Town: Remote,Southeast
C0297,22303,100,18045,18750,19480,20060,Town: Fringe,Great Lakes
C1303,4699,75,6458,7264,7732,8060,Suburb: Small,Southwest
C1456,4356,82,7360,8019,8685,8710,City: Small,Great Lakes
C0013,41486,100,20990,21990,22500,23500,City: Midsize,Southeast
C1518,,98,19500,22500,23900,23900,City: Small,Mid East
C0918,34506,99,28800,30430,31380,32470,City: Large,Southeast
C0843,22001,98,25650,26400,27230,28200,Suburb: Large,Mid East
C1044,5850,99,27970,29380,30230,31120,Town: Fringe,Far West
C0350,120946,100,27500,28850,30268,31760,Town: Distant,Great Lakes
C0563,2122,88,7230,7670,8050,8130,Suburb: Large,New England
C0921,24342,100,22414,22564,23950,24150,Rural: Distant,Southeast
C0901,180152,84,33050,35200,36500,37600,City: Large,Mid East
C0998,1621,100,6102,6327,7140,7140,Suburb: Small,Great Lakes
C0732,126,59,2243,2513,2700,2700,Town: Remote,Far West
C1221,16655,100,21890,22850,23740,24550,City: Midsize,Plains
C0022,60561,98,21942,23963,25150,26328,Suburb: Large,Southeast
C0305,28531,100,32443,35125,37969,40117,City: Large,Great Lakes
C0519,16880,99,22090,23636,25310,27082,Rural: Fringe,Mid East
C0926,8641,99,24148,25550,27070,27830,City: Midsize,Southeast
C0076,1476,66,4858,6120,6195,6186,Suburb: Large,Far West
C1052,17445,99,31702,33612,35260,37024,Suburb: Large,Far West
C1495,8164,94,7380,7560,7740,8100,Rural: Fringe,Great Lakes
C1339,22021,96,25980,27182,28210,29500,City: Midsize,Rocky Mountains
C0223,1241,81,2822,2988,3172,3232,City: Small,Southeast
C0330,2896,100,25520,27060,28110,28970,City: Large,Great Lakes
C1228,27524,100,20562,21778,22652,23696,Suburb: Small,Southeast
C0514,14712,72,13630,14445,14773,14864,Suburb: Small,Mid East
C0675,12189,92,20380,21220,21220,22684,Suburb: Large,Plains
C0247,77288,72,8716,9652,10098,10650,City: Large,Southeast
C0468,2199,95,3987,4383,5088,5701,City: Small,Southeast
C0015,44004,100,13900,14460,15100,15630,Rural: Remote,Southeast
C1054,29069,97,33538,35740,37404,38670,City: Large,Far West
C0701,43586,100,19760,20570,20850,21680,Town: Distant,Plains
C1367,2229,66,8684,9266,9620,9908,Suburb: Large,Southeast
C0928,9058,100,15500,16300,16800,17300,Town: Fringe,Southeast
C0857,7914,99,24138,25464,26622,27684,City: Small,Mid East
C0560,23979,77,37142,38602,40086,41686,City: Large,New England
C1220,9087,92,6444,6887,7404,7713,Town: Remote,Plains
C0606,185879,63,11837,12634,12994,13142,City: Midsize,Great Lakes
C1204,157,97,8424,8750,9024,9308,Suburb: Large,Southeast
C0295,4361,93,9987,10534,10930,11144,Town: Remote,Great Lakes
C0787,99262,49,40546,42184,43502,44790,City: Large,Mid East
C0760,7963,87,13370,13974,14740,15218,City: Large,Mid East
C0182,55964,82,10208,11192,11682,12112,Suburb: Large,Mid East
C0666,10712,94,9718,10218,10218,10227,City: Midsize,Southeast
C0229,4235,99,15980,16660,17480,18430,Rural: Fringe,Southeast
C0685,22448,84,8501,8989,9257,9415,City: Midsize,Plains
C1308,2018,95,6346,6640,6940,6940,Town: Distant,Southwest
C1306,7398,94,4568,4764,4764,5436,Town: Remote,Southwest
C0388,40904,94,21590,22620,24530,25520,City: Small,Plains
C1070,16867,99,32084,33176,29000,29000,Suburb: Large,Mid East
C1039,2447,93,10700,12350,14025,14220,Suburb: Large,Southwest
C0465,23979,96,13030,13380,13780,14120,Suburb: Small,Southeast
C0935,25201,71,6529,7018,7788,8206,City: Large,Southeast
C0569,66806,92,32620,33920,35110,36160,Suburb: Large,New England
C1053,3352,76,7130,7764,7653,7878,City: Large,Far West
C0021,5665,94,14250,14678,15414,16234,City: Midsize,Southeast
C0222,2998,94,18150,18870,19370,19920,Suburb: Small,Southeast
C0302,21391,65,13096,13838,14522,14750,City: Small,Great Lakes
C1241,12085,97,19518,20582,21368,22272,Town: Distant,Southeast
C1405,4681,99,23004,23400,24706,25934,Suburb: Large,Far West
C0418,16992,83,7376,7657,8047,8585,City: Small,Plains
C1403,12771,100,13510,15550,16515,17744,Rural: Fringe,Far West
C0691,248374,100,17310,18030,18330,18330,Town: Distant,Plains
C0818,40691,100,34630,36040,37460,38930,Town: Remote,Mid East
C0062,17473,96,28852,29908,31004,32142,Suburb: Large,Far West
C0284,2580,71,3660,3811,3770,3850,Town: Distant,Rocky Mountains
C1389,8422,90,24642,24642,24642,24642,City: Small,Southeast
C0001,,97,5800,6828,7182,7182,City: Midsize,Southeast
C1333,,96,27350,14100,15957,16100,Suburb: Large,Rocky Mountains
C0293,17773,95,28858,30618,32295,33990,City: Large,Great Lakes
C1504,4807,81,4991,5532,6068,6118,Suburb: Large,Southeast
C0770,37693,98,39816,41782,43196,44490,Suburb: Large,Mid East
C0583,74030,100,27580,29230,30960,32660,Town: Distant,Great Lakes
C1455,1554,80,6836,7195,7528,7578,Town: Distant,Great Lakes
C1194,52827,98,26138,27320,28276,29124,City: Small,Southeast
C1154,25724,95,34536,35992,37456,38754,City: Small,Mid East
C0785,38886,100,25976,26884,27794,25430,Town: Remote,Mid East
C0919,10066,73,,,,30715,City: Midsize,Southeast
C0205,20266,94,12350,13180,13820,14490,Suburb: Large,Southeast
C1060,2245,88,7410,8076,8529,8634,Town: Fringe,Far West
C0483,332477,47,41380,42820,44320,45760,Town: Remote,New England
C0372,8224,100,22810,23950,24440,25180,City: Large,Great Lakes
C0616,6705,94,7308,7815,8120,8423,Rural: Fringe,Great Lakes
C1067,2402,84,7456,8082,8344,8582,City: Small,Mid East
C0064,2304,95,24654,25808,26900,28122,City: Large,Far West
C0861,110095,57,41184,42380,44170,45874,Suburb: Small,Mid East
C1213,33083,100,25104,26590,27780,28630,City: Midsize,Plains
C1380,4317,75,7694,8320,8590,8976,City: Small,Southeast
C1515,4446,,,,,,Town: Distant,Plains
C0065,872856,73,36282,37704,39588,41538,City: Midsize,Far West
C1509,27520,,,,,,Town: Distant,New England
C0231,4664,91,4154,4701,6238,6357,City: Small,Southeast
C0489,27762,93,10142,10588,10594,10600,Suburb: Small,New England
C1421,7495,98,4974,5446,5716,6160,Town: Remote,Southeast
C1016,7190,88,7518,7800,8354,8542,Suburb: Large,Great Lakes
C0201,10039,92,29728,29852,30720,31334,City: Small,Southeast
C1244,3501,99,6298,6754,7210,7546,City: Midsize,Southeast
C1497,3085,78,4721,5963,5963,5963,Suburb: Midsize,Far West
C0703,11097,100,18000,19000,19850,20650,Town: Distant,Plains
C1260,21480,93,5672,6211,6327,6559,City: Small,Southwest
C1101,3583,91,22476,23160,24058,24778,Suburb: Large,Mid East
C0316,69676,100,26900,28650,30450,31500,Town: Remote,Great Lakes
C0938,50855,100,25258,25886,23900,23900,City: Large,Southeast
C0100,24825,,,,14160,14400,City: Large,Far West
C1073,75155,70,42136,44010,45760,47642,City: Large,Mid East
C0604,985,99,17180,18020,18900,19850,City: Large,Great Lakes
C1293,729227,75,33771,35551,37292,38941,City: Large,Southwest
C1329,30954,67,4420,4560,4710,4850,City: Midsize,Rocky Mountains
C0111,48767,90,36622,37825,39125,40265,City: Large,Far West
C0050,3390,99,10760,11610,12530,13350,City: Small,Southeast
C0260,,99,11794,12502,12502,13332,City: Midsize,Southeast
C1192,4647,93,17395,18065,18745,18930,City: Midsize,Southeast
C0717,91376,100,22170,23590,25080,26180,Town: Distant,Plains
C0270,2747,92,5406,5697,5792,5889,City: Small,Southeast
C1000,16736,79,9603,9936,10282,10446,Town: Distant,Great Lakes
C1233,31203,98,18358,19462,20002,20449,City: Large,Southeast
C1430,3871,97,4880,5266,5530,6226,Rural: Fringe,Southeast
C1035,2534,88,4513,4777,5047,5349,Town: Fringe,Southwest
C0498,1371,90,6154,6347,6639,6971,Suburb: Large,Mid East
C1398,1546,85,7110,7827,8925,8976,Town: Distant,Far West
C0212,11979,99,26600,27900,29100,29900,City: Large,Southeast
C0687,23753,97,8528,9084,9350,9510,Town: Remote,Plains
C0649,37771,97,30493,32073,33787,35308,City: Large,Plains
C0710,3270,88,5480,5480,5480,5480,Town: Remote,Rocky Mountains
C1114,11268,100,24990,25990,27230,28210,Suburb: Large,Mid East
C0308,70137,98,33024,34464,36492,38952,Town: Remote,Great Lakes
C0721,7362,100,23664,24810,25994,27146,Town: Distant,Plains
C1526,3609,98,4615,5200,5716,5820,City: Midsize,Southeast
C1068,458469,79,39360,40824,42246,43900,Suburb: Large,Mid East
C0067,10629,50,6480,7911,8043,8724,Suburb: Small,Far West
C1265,8514,95,18690,19900,21110,22350,City: Large,Southwest
C0631,19020,100,30489,31994,33752,35108,City: Large,Plains
C1126,8421,83,13250,13636,13900,14240,City: Small,Mid East
C1250,9533,96,6062,6718,7212,7554,City: Midsize,Southeast
C0156,6936,63,25100,26360,27670,28790,City: Small,Rocky Mountains
C1094,5620,100,23520,24640,25590,27100,City: Large,Mid East
C0194,12507,99,13452,13990,14410,14410,City: Small,Southeast
C0839,21791,100,26334,27422,28330,29624,Suburb: Large,Mid East
C0741,1799,88,11226,12640,13757,13762,City: Midsize,New England
C1171,127590,95,28220,29340,29360,29370,City: Small,Mid East
C1165,85834,100,34610,36420,38310,39710,Suburb: Large,Mid East
C0613,3707,92,9285,9938,10230,10613,Suburb: Large,Great Lakes
C0667,2958,92,10350,10350,10350,10800,City: Small,Southeast
C0870,479,94,6522,7520,8277,7412,Rural: Distant,Mid East
C0831,4845,99,34350,35370,35370,35370,Suburb: Large,Mid East
C0832,8436,88,27740,28890,30090,31290,Suburb: Large,Mid East
C0035,15972,83,8237,10035,10035,10391,City: Large,Southwest
C1350,43490,100,28738,30194,31782,33371,Town: Distant,New England
C0734,23226,99,32640,34110,35810,37300,Rural: Distant,New England
C0567,16906,99,28585,30660,31690,32560,City: Midsize,New England
C0769,17060,99,26887,28221,29907,31095,Suburb: Large,Mid East
C0979,,88,5110,5288,5472,5554,Rural: Fringe,Great Lakes
C1320,3953,84,6718,7042,7389,7457,City: Large,Southwest
C0820,73420,81,41710,42915,44438,46165,Town: Distant,Mid East
C0570,19361,80,28526,29894,30792,31716,City: Large,New England
C0010,37598,98,27890,29290,30690,30690,City: Midsize,Southeast
C0478,81125,79,41884,43434,45240,46930,City: Large,Southeast
C0373,21160,100,25260,26330,27350,27350,Town: Distant,Great Lakes
C0533,4666,33,13240,13240,13240,13392,City: Midsize,New England
C0232,281391,100,31283,32195,33461,34788,Suburb: Large,Southeast
C0661,838,96,4831,5307,5703,5916,Town: Remote,Southeast
C0045,681,96,5033,5435,5724,5938,City: Small,Southeast
C1271,36525,100,23180,25445,26795,27930,City: Large,Southwest
C0549,4819,90,10506,11297,11847,12097,Suburb: Large,New England
C0007,854,,,,,,Town: Fringe,Southeast
C0378,42568,92,29582,31040,32250,33480,Suburb: Large,Great Lakes
C0880,4444,87,6333,6688,7058,7400,Town: Distant,Mid East
C0993,11865,100,25280,26790,28104,28932,City: Large,Great Lakes
C0762,2215,78,11874,12758,13144,13388,Suburb: Large,Mid East
C0263,1037,99,5624,6032,5290,5415,City: Midsize,Southeast
C1379,8279,82,7470,7890,8190,8550,City: Midsize,Southeast
C0882,2054,73,6135,6458,6758,7083,Suburb: Large,Mid East
C0241,6514,93,4996,5457,5357,5514,City: Midsize,Southeast
C0601,7292,97,8764,9364,9640,9960,Town: Remote,Great Lakes
C0437,171292,97,32600,34000,35000,36020,Town: Distant,Southeast
C0073,2401,63,5620,6890,6890,6972,City: Small,Far West
C0568,5411,90,10389,11135,11681,11681,Suburb: Midsize,New England
C0369,3256,100,15990,16640,18600,19200,Town: Distant,Great Lakes
C1528,,,,,,,Town: Remote,Southeast
C1523,,100,7980,8100,8160,8160,City: Small,Southeast
C0877,1042,87,6176,6508,6881,7222,Town: Fringe,Mid East
C0402,37468,100,23910,24920,25970,26740,City: Midsize,Plains
C0638,6067,93,11532,12091,12549,12584,Town: Remote,Plains
C1488,12538,83,8689,10343,11902,11902,City: Midsize,Far West
C0639,1655,86,6924,7378,7834,7816,Suburb: Midsize,Plains
C1283,7821,99,16180,16870,17760,18740,City: Midsize,Southwest
C1301,180164,100,31630,33440,34410,35240,Suburb: Large,Southwest
C1288,11538,97,21900,22756,23420,23938,City: Large,Southwest
C0480,116238,100,34380,36063,37701,38952,Town: Remote,New England
C0442,47948,100,18180,19515,20365,21200,City: Small,Southeast
C0357,3542,92,7714,7982,8098,8256,City: Small,Great Lakes
C0556,9579,98,24500,25915,26909,29377,City: Small,New England
C0174,20869,95,31440,32724,34030,35050,Suburb: Large,New England
C1158,53589,98,34070,35860,37280,38780,Town: Distant,Mid East
C0041,7674,94,6643,6937,6854,7094,City: Midsize,Southeast
C0881,3910,59,6401,6758,7068,7430,Town: Distant,Mid East
C1462,5158,87,8099,8542,8944,8968,Town: Distant,Great Lakes
C0203,7678,87,3835,4264,4789,4790,City: Small,Southeast
C0434,623784,100,910,910,21880,23170,Town: Distant,Southeast
C0988,7108,100,21330,22080,22890,23690,Town: Distant,Great Lakes
C1098,4096,98,19020,19620,20400,21300,Suburb: Large,Mid East
C0834,476,92,20570,21598,22678,23812,City: Large,Mid East
C0104,129,73,10134,10620,11160,11277,City: Large,Far West
C0924,27581,99,21997,23318,24536,25636,Suburb: Large,Southeast
C0151,,95,15024,15790,16154,17211,City: Large,Rocky Mountains
C0197,2587,96,5021,5584,6247,6317,Suburb: Large,Southeast
C1084,6938,100,24600,25850,27174,28090,Suburb: Large,Mid East
C0562,19818,77,21400,22042,23744,24930,Suburb: Large,New England
C0416,52414,79,8733,9222,9678,10107,City: Small,Plains
C0084,8945,77,11232,13122,13122,13149,City: Midsize,Far West
C0931,80248,68,6665,7009,7693,8340,City: Small,Southeast
C1404,21524,100,20370,22260,23900,27042,City: Midsize,Far West
C0635,48052,77,12288,13022,13459,13555,City: Large,Plains
C0897,6923,99,28620,29996,31930,33320,City: Small,Mid East
C0891,49259,74,36302,37668,39004,40458,City: Midsize,Mid East
C0395,15625,100,26275,27258,28141,28852,City: Small,Plains
C0371,973,82,6704,6872,7045,7186,Rural: Fringe,Great Lakes
C0923,1610,98,14358,15408,15408,16024,Suburb: Midsize,Southeast
C0012,5494,99,14810,15880,17380,18230,City: Midsize,Southeast
C0331,3068,96,8101,8581,8952,9178,City: Midsize,Great Lakes
C0708,8171,87,6168,6428,6705,6752,Town: Remote,Rocky Mountains
C1083,2435,83,7778,8351,8758,8991,City: Small,Mid East
C0509,5200,93,6305,6482,6713,6998,Town: Fringe,Mid East
C0313,15519,100,19310,20400,21400,22400,Town: Distant,Great Lakes
C0738,1025,94,26442,27234,28050,28884,City: Midsize,New England
C0962,33733,100,25260,26396,27060,27840,Suburb: Large,Great Lakes
C0406,4240,100,20234,21720,23210,23210,Town: Remote,Plains
C0914,27116,68,26827,27881,28980,30149,Suburb: Midsize,Southeast
C1370,174079,100,29485,30795,32075,33320,Suburb: Midsize,Southeast
C0359,1979,86,6290,6507,6728,6816,City: Midsize,Great Lakes
C0444,9542,100,15176,15150,16778,17418,Town: Distant,Southeast
C1170,9646,96,27178,28210,29326,30350,City: Small,Mid East
C0854,24874,99,26895,27890,28727,29589,Town: Remote,Mid East
C0783,1722,94,17500,18400,19460,20450,City: Large,Mid East
C0773,3480,83,13293,13887,14378,14730,Suburb: Large,Mid East
C1210,8945,99,10780,10780,10780,10780,Rural: Fringe,Southeast
C0469,2521,90,4759,5214,5850,6578,City: Large,Southeast
C0902,4526,67,5251,5538,6059,6462,Town: Distant,Southeast
C1508,14995,99,24429,25407,26412,27456,City: Large,Rocky Mountains
C0482,574151,50,41565,42816,44118,45446,Town: Fringe,New England
C1159,1034611,59,39600,41150,43080,44718,Suburb: Large,Mid East
C1274,5131,96,5604,5830,6116,6248,City: Small,Southwest
C0644,79129,100,31576,33606,35486,37162,Rural: Fringe,Plains
C0655,24141,97,8920,9130,9230,9470,Rural: Distant,Southeast
C0534,96250,89,36420,37350,38450,39550,City: Midsize,New England
C0634,390,84,5923,6341,6642,6642,City: Large,Plains
C0113,111600,100,37485,39264,40080,41494,City: Large,Far West
C0462,8162,92,3816,4402,4618,5337,Rural: Fringe,Southeast
C1478,5504,,,,,,Town: Fringe,Great Lakes
C1031,55848,99,18608,19756,20796,21842,Town: Distant,Southwest
C0389,26227,100,20980,21790,22680,23530,Rural: Remote,Plains
C0704,26941,100,23594,25198,26554,27914,Town: Remote,Rocky Mountains
C0025,19434,100,14464,15062,15665,15901,City: Small,Southeast
C0255,,92,8580,8815,9057,7947,City: Small,Southeast
C1149,5875,100,21550,23038,24064,25114,Suburb: Large,Mid East
C1095,4218,100,27870,28850,29000,30740,Suburb: Large,Mid East
C0081,1303,79,5195,6573,6620,6628,City: Large,Far West
C0600,132984,100,34417,35920,37810,39450,City: Small,Great Lakes
C0153,1710,91,4924,5592,6462,6923,Town: Remote,Rocky Mountains
C0737,5433,95,29054,30400,31744,33000,Rural: Distant,New England
C0588,27736,100,24870,25565,26705,28250,City: Midsize,Great Lakes
C0689,5971,99,6692,7008,7216,7368,Town: Remote,Plains
C0531,109992,65,40289,41860,44294,45856,City: Small,New England
C1247,190019,77,35862,32292,34714,35756,Rural: Distant,Southeast
C0652,2081,88,8200,8540,8710,8730,Town: Distant,Plains
C0285,50005,99,32235,33363,34614,35835,City: Small,Great Lakes
C1110,13657,100,27150,28175,29380,30690,City: Small,Mid East
C0824,34570,92,33630,35278,37000,38400,Suburb: Small,Mid East
C0136,4095,62,5508,6862,7162,7234,Suburb: Large,Far West
C0301,2168,96,23240,23184,24137,25516,Suburb: Large,Great Lakes
C0862,10819,96,17565,18425,20125,21878,City: Large,Mid East
C1300,4772,99,14830,15730,16630,17830,Suburb: Large,Southwest
C0006,19469,75,7900,8600,9200,9450,City: Small,Southeast
C1485,2060,99,11420,11780,12260,12740,Suburb: Large,Southeast
C1307,3803,86,5195,5281,5522,5856,Town: Remote,Southwest
C0798,9000,70,4970,5550,5910,6210,City: Large,Mid East
C0709,10021,89,5476,5722,5985,6045,City: Small,Rocky Mountains
C1486,,98,16190,16140,16140,16950,City: Large,Far West
C0581,16118,98,25900,27440,29156,30758,Town: Distant,Great Lakes
C0112,38268,98,33550,35076,36110,37100,Suburb: Large,Far West
C0795,10341,94,25570,26620,27520,28095,Suburb: Large,Mid East
C0258,,,,,,,Town: Fringe,Southeast
C0963,20012,100,24930,26154,27426,28504,Town: Distant,Great Lakes
C0096,,90,19600,19600,19600,20200,City: Large,Far West
C0641,5534,99,24570,25700,26960,28020,Suburb: Large,Plains
C0539,13758,94,26248,27130,28166,28926,Suburb: Large,New England
C0024,15871,100,26730,28060,29450,30924,City: Midsize,Southeast
C0829,,,,,,,Suburb: Large,Mid East
C0544,27750,88,41299,42900,44700,46625,Suburb: Large,New England
C1352,112682,,,,,,Rural: Fringe,New England
C1111,9306,100,26346,27657,29037,30300,City: Midsize,Mid East
C1203,59223,100,30180,31280,32680,33650,Town: Distant,Southeast
C0763,11560,98,30470,31930,33420,35270,Suburb: Large,Mid East
C0393,23402,100,22050,23160,24300,25550,Town: Remote,Plains
C1501,12929,100,7560,9120,9480,9840,City: Large,Great Lakes
C0930,10246,77,4729,5393,5916,6241,City: Small,Southeast
C1312,63743,63,9416,9794,9790,9798,City: Large,Southwest
C1102,14979,99,33700,35240,36650,38200,City: Large,Mid East
C1218,14960,97,6351,6951,7269,7563,Town: Remote,Plains
C0184,4066,87,9290,9470,9710,9950,Suburb: Large,Mid East
C1321,4455,95,7360,7442,7646,7946,City: Large,Southwest
C1128,8347,81,13250,13636,13900,14240,Suburb: Large,Mid East
C0626,350972,77,41304,42942,44445,46167,Town: Distant,Plains
C0399,16789,85,23260,24360,25400,26310,City: Midsize,Plains
C0496,25610,99,22500,23540,24100,25000,Rural: Remote,New England
C0456,115910,100,26740,28250,29865,31560,City: Large,Southeast
C0548,39431,97,29525,30545,31575,32375,City: Midsize,New England
C0477,8535,94,4426,4864,5374,6192,City: Midsize,Southeast
C0394,38901,83,7417,7765,8057,8061,City: Small,Plains
C0439,4256,97,7084,6960,7320,7536,Town: Distant,Southeast
C1138,10441,93,12626,12994,13238,13550,Town: Distant,Mid East
C1371,3391,60,7860,8448,8808,9176,City: Small,Southeast
C0944,50593,99,21965,22720,23839,24566,City: Midsize,Southeast
C0702,59943,100,28450,29600,30200,31000,Suburb: Large,Plains
C0939,3278,92,4140,4643,4857,5144,Town: Distant,Southeast
C1410,27642,96,30825,32700,34800,36465,City: Large,Far West
C0144,,71,7214,7394,7494,7933,City: Large,Rocky Mountains
C1440,9039,99,22150,23260,24180,25160,Suburb: Large,Great Lakes
C1280,2011,81,6924,8076,8544,7429,City: Midsize,Southwest
C0806,81,91,4902,5432,5732,6032,City: Large,Mid East
C0864,25196,98,31980,33875,35520,37260,City: Large,Mid East
C1490,261,59,28210,29050,29910,31496,Suburb: Midsize,Southeast
C1426,3524,99,17910,18050,18100,18750,City: Small,Southeast
C0550,9733,88,11917,12797,13415,13443,Suburb: Large,New England
C1279,38425,98,11146,13374,11369,11369,Rural: Distant,Southwest
C0226,41755,100,33424,35078,36644,38330,Suburb: Midsize,Southeast
C0249,5101,95,7852,8344,8618,8790,Town: Distant,Southeast
C1284,23638,96,21600,22950,24150,25200,Suburb: Small,Southwest
C0044,36209,81,6768,7174,7554,7818,City: Small,Southeast
C1164,42422,66,39930,41110,42740,44430,Suburb: Large,Mid East
C0771,2730,87,11533,11963,12322,12322,Suburb: Midsize,Mid East
C0809,110,81,4912,5496,5796,6096,City: Large,Mid East
C0535,29310,95,30815,32210,33465,34715,Suburb: Large,New England
C1443,135566,99,36312,38481,40023,41226,City: Small,Great Lakes
C0300,7841,82,12056,12656,13122,13410,City: Large,Great Lakes
C0278,4948,80,5300,5566,5884,6292,City: Midsize,Rocky Mountains
