ID,Control,Highest degree offered,Admission rate (%),Tuition and fees 2013-14 ($),Geographic region,Total enrollment,4-year graduation rate (%),ACT Composite score (25th percentile),Receiving financial aid (%)
C0843,Private,Doctoral degree,52,8060,Far West,2177,46,,87
C0844,Private,Doctoral degree,78,42778,Mid East,4686,39,18,98
C0845,Private,Doctoral degree,,8100,New England,8307,17,24,95
C0846,Private,Doctoral degree,38,27922,Southwest,4221,16,16,100
C0847,Private,Bachelor's degree,81,7873,New England,8442,32,19,93
C0848,Private,Doctoral degree,45,7125,Plains,10325,,19,68
C0849,Private,Doctoral degree,74,27916,Southwest,4427,10,19,98
C0850,Private,Master's degree,49,43910,Great Lakes,4220,48,20,100
C0851,Private,Doctoral degree,81,44530,Rocky Mountains,4341,33,22,100
C0852,Private,Doctoral degree,63,8525,Plains,6365,88,23,97
C0853,Private,Doctoral degree,,6188,New England,20006,24,,92
C0854,Private,Master's degree,70,22950,Great Lakes,4028,49,29,99
C0855,Private,Master's degree,55,18454,Plains,1860,17,,99
C0856,Private,Master's degree,,24770,Far West,1309,37,17,100
C0857,Private,Master's degree,64,10700,Great Lakes,344,61,22,99
C0858,Private,Master's degree,,14240,New England,2205,27,,83
C0859,Private,Master's degree,75,43683,New England,833,54,,66
C0860,Private,Master's degree,96,6143,Great Lakes,3056,25,,73
C0861,Private,Master's degree,78,32613,Far West,1846,28,,99
C0862,Private,Master's degree,56,34950,Southeast,80,6,19,92
C0863,Private,Doctoral degree,83,44841,Mid East,5732,30,19,55
C0864,Private,Doctoral degree,71,22000,Mid East,1540,8,29,100
C0865,Public,Bachelor's degree,49,34600,Plains,1813,61,22,98
C0866,Public,Bachelor's degree,56,8745,Great Lakes,6525,28,15,89
C0867,Public,Bachelor's degree,71,4770,Rocky Mountains,9323,40,18,78
C0868,Public,Bachelor's degree,64,27465,Great Lakes,791,18,23,100
C0869,Public,Bachelor's degree,66,29000,Southeast,38315,47,18,98
C0870,Public,Bachelor's degree,68,33209,Southeast,7746,44,20,99
C0871,Public,Doctoral degree,75,29664,Southeast,2418,10,17,99
C0872,Public,Doctoral degree,26,12610,Southeast,1367,79,30,89
C0873,Public,Doctoral degree,53,6516,Mid East,97,26,26,99
C0874,Public,Doctoral degree,90,9738,Southeast,2839,30,25,83
C0875,Public,Doctoral degree,63,10614,Far West,3207,30,20,89
C0876,Public,Master's degree,43,6744,Plains,32411,86,21,96
C0877,Public,Master's degree,82,5372,Southeast,14441,22,21,89
C0878,Public,Master's degree,28,7230,Plains,1614,47,20,79
C0879,Public,Master's degree,70,8750,Plains,12757,16,,90
C0880,Public,Master's degree,85,31580,Mid East,4655,17,22,100
C0881,Public,Master's degree,68,7449,Mid East,4581,25,,92
C0882,Public,Master's degree,54,43114,Southeast,4922,,22,73
C0883,Public,Master's degree,47,42852,Far West,1610,19,19,75
C0884,Public,Master's degree,59,6276,Great Lakes,31123,39,23,89
C0885,Public,Master's degree,,7726,Mid East,4770,24,21,88
C0886,Public,Master's degree,,25716,Southwest,1100,72,,99
C0887,Public,Master's degree,,6766,Southwest,10835,76,21,62
C0888,Public,Master's degree,55,15840,Mid East,3012,39,27,96
C0889,Public,Master's degree,55,25450,Mid East,3233,70,22,100
C0890,Public,Master's degree,41,9904,Southeast,8700,90,15,79
C0891,Private,Doctoral degree,80,30800,Southeast,2399,56,,96
C0892,Private,Doctoral degree,76,8706,Far West,988,37,19,84
C0893,Private,Doctoral degree,96,23760,Rocky Mountains,8943,28,19,97
C0894,Private,Master's degree,64,8074,Plains,34752,9,21,95
C0895,Private,Bachelor's degree,23,17530,Far West,27848,35,,95
C0896,Public,Master's degree,68,15250,Southeast,3583,45,28,84
C0897,Private,Doctoral degree,40,34120,Plains,1479,35,21,97
C0898,Private,Master's degree,63,5437,Great Lakes,2206,50,19,76
C0899,Private,Master's degree,56,22430,Mid East,470,71,24,96
C0900,Private,Bachelor's degree,75,13464,Great Lakes,2533,39,20,92
C0901,Private,Doctoral degree,55,12093,Great Lakes,3255,44,20,88
C0902,Public,Doctoral degree,,15840,Great Lakes,32955,23,18,100
C0903,Private,Master's degree,53,9992,Southeast,11534,30,,66
C0904,Private,Bachelor's degree,74,27380,Southeast,2246,18,21,95
C0905,Private,Bachelor's degree,,22370,Mid East,1543,61,19,99
C0906,Private,Bachelor's degree,66,26830,Plains,9661,15,17,100
C0907,Private,Doctoral degree,95,6086,Rocky Mountains,1007,12,,91
C0908,Private,Master's degree,87,24666,Mid East,1602,22,,100
C0909,Private,Master's degree,,9376,Great Lakes,2029,16,15,82
C0910,Private,Bachelor's degree,44,28644,Southeast,1458,72,19,100
C0911,Private,Doctoral degree,68,6456,Mid East,3205,23,16,89
C0912,Public,Doctoral degree,40,22790,Southeast,631,67,21,100
C0913,Public,Master's degree,80,16972,Southeast,9904,28,18,100
C0914,Private,Doctoral degree,72,8985,Great Lakes,1830,22,18,90
C0915,Public,Doctoral degree,68,44670,Southeast,40909,41,22,63
C0916,Private,Doctoral degree,76,45890,Plains,4455,37,16,62
C0917,Private,Master's degree,72,22892,Southeast,6160,0,19,99
C0918,Private,Bachelor's degree,,9763,New England,8458,,22,68
C0919,Private,Doctoral degree,,5693,Great Lakes,3726,29,,79
C0920,Private,Bachelor's degree,36,46598,Mid East,13757,15,22,44
C0921,Private,Bachelor's degree,88,44605,Mid East,11267,53,22,69
C0922,Private,Master's degree,87,7498,Southeast,5137,50,19,99
C0923,Private,Bachelor's degree,53,15463,Plains,4407,28,16,53
C0924,Private,Master's degree,51,42920,Rocky Mountains,1310,30,25,89
C0925,Private,Master's degree,39,41392,New England,7476,65,19,76
C0926,Private,Master's degree,18,6089,Southeast,23447,45,19,79
C0927,Private,Master's degree,78,29448,Great Lakes,1738,13,18,98
C0928,Private,Bachelor's degree,76,6059,Mid East,5236,19,,77
C0929,Public,Doctoral degree,44,25450,Southeast,8703,41,22,100
C0930,Public,Master's degree,49,6536,Mid East,680,28,18,68
C0931,Public,Doctoral degree,80,7174,Southwest,2304,59,22,91
C0932,Public,Doctoral degree,83,16094,Southeast,1185,39,17,99
C0933,Public,Doctoral degree,35,33150,Far West,8917,19,20,79
C0934,Public,Doctoral degree,41,13494,Mid East,879,52,27,97
C0935,Public,Doctoral degree,85,33120,Southwest,480,8,18,100
C0936,Private,Bachelor's degree,96,46600,Mid East,17363,47,17,65
C0937,Public,Doctoral degree,,7218,Southeast,1439,28,16,95
C0938,Private,Bachelor's degree,69,27368,Mid East,635,,22,100
C0939,Public,Master's degree,70,7316,Southeast,4491,37,31,83
C0940,Private,Master's degree,44,6216,Southeast,9120,18,,94
C0941,Private,Master's degree,67,35380,Southwest,2372,23,15,97
C0942,Private,Bachelor's degree,70,6772,Great Lakes,14852,28,25,93
C0943,Private,Bachelor's degree,94,20060,Mid East,21593,83,,100
C0944,Private,Master's degree,66,8060,Plains,3121,66,,75
C0945,Private,Master's degree,77,8710,Plains,3049,52,28,82
C0946,Private,Master's degree,73,23500,Mid East,10743,39,21,100
C0947,Private,Doctoral degree,66,23900,Rocky Mountains,3462,37,28,98
C0948,Private,Master's degree,59,32470,New England,21138,50,24,99
C0949,Private,Doctoral degree,77,28200,Plains,4199,78,20,98
C0950,Public,Doctoral degree,55,31120,Great Lakes,2506,76,,99
C0951,Public,Doctoral degree,62,31760,Mid East,4399,47,27,100
C0952,Public,Bachelor's degree,75,8130,Southeast,443,60,20,88
C0953,Private,Doctoral degree,66,24150,Plains,43710,77,21,100
C0954,Private,Doctoral degree,83,37600,Far West,1107,30,22,84
C0955,Public,Bachelor's degree,55,7140,Great Lakes,1837,9,19,100
C0956,Public,Master's degree,92,2700,Plains,1204,70,21,59
C0957,Public,Doctoral degree,89,24550,Great Lakes,2449,18,,100
C0958,Public,Doctoral degree,81,26328,Southeast,1299,18,19,98
C0959,Public,Master's degree,50,40117,Far West,2170,51,22,100
C0960,Public,Doctoral degree,65,27082,New England,3555,63,20,99
C0961,Private,Doctoral degree,,27830,Southeast,1922,26,23,99
C0962,Private,Master's degree,60,6186,Southwest,2339,50,,66
C0963,Private,Master's degree,82,37024,Southeast,767,25,20,99
C0964,Public,Doctoral degree,70,8100,Far West,13326,85,20,94
C0965,Private,Doctoral degree,74,29500,New England,1255,15,,96
C0966,Private,Doctoral degree,68,3232,Plains,591,71,20,81
C0967,Private,Doctoral degree,43,28970,Great Lakes,12588,33,16,100
C0968,Public,Master's degree,81,23696,Southeast,24828,19,,100
C0969,Public,Doctoral degree,,14864,Great Lakes,25155,69,24,72
C0970,Private,Master's degree,64,22684,Mid East,506,24,21,92
C0971,Public,Doctoral degree,82,10650,Southeast,14629,15,22,72
C0972,Private,Doctoral degree,73,5701,Southeast,965,43,27,95
C0973,Private,Master's degree,97,15630,Plains,1714,49,,100
C0974,Private,Bachelor's degree,33,38670,Mid East,15845,23,17,97
C0975,Private,Doctoral degree,48,21680,Southwest,2536,41,,100
C0976,Private,Master's degree,97,9908,Far West,8923,63,18,66
C0977,Private,Master's degree,72,17300,Southwest,2010,41,,100
C0978,Private,Master's degree,72,27684,Plains,842,39,19,99
C0979,Public,Bachelor's degree,61,41686,Mid East,33329,48,19,77
C0980,Public,Doctoral degree,85,7713,Southwest,824,54,21,92
C0981,Private,Bachelor's degree,58,13142,Southeast,5033,5,18,63
C0982,Private,Master's degree,79,9308,Far West,2729,28,20,97
C0983,Private,Master's degree,62,11144,Great Lakes,12159,21,20,93
C0984,Private,Master's degree,78,44790,Southeast,13407,18,20,49
C0985,Private,Master's degree,61,15218,Plains,1580,35,,87
C0986,Public,Doctoral degree,53,12112,Southeast,1247,18,20,82
C0987,Private,Master's degree,90,10227,Mid East,1366,17,20,94
C0988,Private,Master's degree,52,18430,Great Lakes,5790,13,29,99
C0989,Private,Doctoral degree,48,9415,Great Lakes,1325,31,20,84
C0990,Private,Master's degree,73,6940,Southwest,1618,59,23,95
C0991,Private,Master's degree,73,5436,Far West,918,16,23,94
C0992,Private,Master's degree,86,25520,Great Lakes,14032,33,19,94
C0993,Private,Master's degree,68,29000,Mid East,1212,31,30,99
C0994,Private,Doctoral degree,41,14220,Mid East,1170,42,21,93
C0995,Public,Master's degree,,14120,Southeast,44942,24,14,96
C0996,Public,Master's degree,83,8206,Far West,17904,42,16,71
C0997,Public,Master's degree,70,36160,Southeast,1129,52,25,92
C0998,Public,Master's degree,,7878,Rocky Mountains,13850,11,17,76
C0999,Public,Doctoral degree,79,16234,Southeast,5279,9,18,94
C1000,Public,Doctoral degree,60,19920,Far West,1741,36,,94
C1001,Private,Bachelor's degree,78,14750,Southwest,1080,19,20,65
C1002,Private,Doctoral degree,70,22272,Southeast,21981,83,,97
C1003,Private,Master's degree,,25934,Southwest,3506,46,22,99
C1004,Public,Master's degree,66,8585,Rocky Mountains,1653,10,18,83
C1005,Private,Master's degree,65,17744,Great Lakes,1355,50,18,100
C1006,Private,Master's degree,80,18330,Southeast,701,69,18,100
C1007,Public,Doctoral degree,78,38930,Plains,2448,50,19,100
C1008,Private,Doctoral degree,71,32142,New England,878,27,17,96
C1009,Private,Master's degree,18,3850,Great Lakes,12448,12,,71
C1010,Private,Doctoral degree,50,24642,Plains,6915,20,18,90
C1011,Private,Doctoral degree,71,7182,Southeast,17838,60,28,97
C1012,Private,Master's degree,89,16100,New England,1902,33,19,96
C1013,Private,Master's degree,51,33990,Great Lakes,46615,24,,95
C1014,Private,Master's degree,53,6118,Great Lakes,7431,19,18,81
C1015,Private,Bachelor's degree,46,44490,Southeast,8918,3,,98
C1016,Public,Doctoral degree,,32660,Southwest,1552,15,22,100
C1017,Private,Doctoral degree,68,7578,New England,579,64,23,80
C1018,Public,Doctoral degree,100,29124,Great Lakes,243,,21,98
C1019,Private,Bachelor's degree,42,38754,Great Lakes,6777,63,17,95
C1020,Private,Master's degree,82,25430,Great Lakes,7052,40,18,100
C1021,Private,Master's degree,51,30715,Great Lakes,854,57,26,73
C1022,Public,Master's degree,,14490,Southeast,5286,9,20,94
C1023,Public,Master's degree,77,8634,Plains,46733,,,88
C1024,Public,Master's degree,,45760,Mid East,1163,16,,47
C1025,Public,Doctoral degree,84,25180,Plains,940,26,15,100
C1026,Public,Doctoral degree,82,8423,Great Lakes,9719,12,20,94
C1027,Public,Master's degree,15,8582,Far West,2240,14,23,84
C1028,Private,Master's degree,75,28122,Southeast,5147,63,,95
C1029,Public,Bachelor's degree,13,45874,Plains,2524,13,23,57
C1030,Public,Doctoral degree,24,28630,Mid East,2161,20,18,100
C1031,Private,Master's degree,70,8976,Southeast,20053,59,24,75
C1032,Private,Doctoral degree,36,,Plains,17203,,,
C1033,Public,Doctoral degree,51,41538,Rocky Mountains,14913,18,,73
C1034,Private,Doctoral degree,88,,Southwest,808,57,,
C1035,Public,Bachelor's degree,61,6357,Southwest,7096,22,,91
C1036,Private,Master's degree,100,10600,Southeast,6723,22,,93
C1037,Public,Bachelor's degree,61,6160,Mid East,27812,89,26,98
C1038,Public,Master's degree,19,8542,Southwest,6033,70,21,88
C1039,Private,Master's degree,59,31334,Southeast,8156,59,17,92
C1040,Public,Doctoral degree,55,7546,Mid East,1600,23,19,99
C1041,Private,Doctoral degree,77,5963,New England,6536,33,25,78
C1042,Private,Doctoral degree,73,20650,Far West,3108,28,,100
C1043,Public,Master's degree,59,6559,Southeast,2286,24,23,93
C1044,Private,Doctoral degree,78,24778,Southeast,13908,87,19,91
C1045,Private,Doctoral degree,54,31500,Mid East,3690,26,14,100
C1046,Private,Bachelor's degree,34,23900,Great Lakes,15058,,24,100
C1047,Private,Master's degree,20,14400,Mid East,2466,28,,
C1048,Private,Master's degree,66,47642,Far West,1619,11,,70
C1049,Public,Master's degree,74,19850,Southeast,2160,4,19,99
C1050,Public,Doctoral degree,65,38941,Southeast,1027,11,23,75
C1051,Public,Doctoral degree,25,4850,New England,2440,64,21,67
C1052,Private,Doctoral degree,,40265,Southeast,568,33,21,90
C1053,Public,Doctoral degree,77,13350,Rocky Mountains,4464,17,20,99
C1054,Private,Doctoral degree,78,13332,Plains,5071,24,22,99
C1055,Private,Master's degree,86,18930,Plains,3029,22,23,93
C1056,Public,Master's degree,72,26180,Great Lakes,12778,7,19,100
C1057,Private,Master's degree,72,5889,Far West,25911,9,19,92
C1058,Private,Doctoral degree,56,10446,Southeast,22225,16,,79
C1059,Private,Doctoral degree,47,20449,New England,1499,34,24,98
C1060,Public,Master's degree,94,6226,Mid East,6222,35,16,97
C1061,Private,Master's degree,75,5349,Southeast,12367,16,,88
C1062,Private,Master's degree,55,6971,Mid East,1177,42,,90
C1063,Private,Bachelor's degree,62,8976,New England,7602,18,19,85
C1064,Private,Doctoral degree,47,29900,Southwest,497,87,21,99
C1065,Private,Doctoral degree,89,9510,Southeast,661,20,21,97
C1066,Private,Doctoral degree,43,35308,Great Lakes,6477,52,16,97
C1067,Public,Doctoral degree,33,5480,Mid East,4473,25,20,88
C1068,Private,Doctoral degree,87,28210,Southwest,4282,0,28,100
C1069,Private,Master's degree,,38952,Great Lakes,4508,42,18,98
C1070,Private,Master's degree,61,27146,Southeast,15010,53,25,100
C1071,Public,Master's degree,63,5820,Mid East,7315,15,20,98
C1072,Private,Doctoral degree,67,43900,Southeast,1306,88,21,79
C1073,Private,Doctoral degree,58,8724,Southeast,1595,37,,50
C1074,Private,Master's degree,72,22350,Great Lakes,2448,,,95
C1075,Private,Doctoral degree,,35108,Great Lakes,8796,59,,100
C1076,Private,Doctoral degree,57,14240,Far West,3607,87,18,83
C1077,Public,Master's degree,93,7554,Southeast,1492,14,,96
C1078,Public,Master's degree,83,28790,Great Lakes,5422,40,20,63
C1079,Private,Master's degree,85,27100,Southeast,4923,38,21,100
C1080,Private,Bachelor's degree,56,14410,Southeast,1168,14,19,99
C1081,Private,Doctoral degree,48,29624,Southeast,1541,72,21,100
C1082,Private,Doctoral degree,95,13762,Far West,4232,44,20,88
C1083,Public,Master's degree,64,29370,Southeast,599,36,22,95
C1084,Private,Doctoral degree,83,39710,Southwest,16275,51,22,100
C1085,Public,Master's degree,37,10613,Southwest,11782,25,31,92
C1086,Private,Master's degree,83,10800,New England,1419,26,19,92
C1087,Private,Bachelor's degree,17,7412,New England,3377,68,19,94
C1088,Private,Doctoral degree,58,35370,Great Lakes,8803,46,21,99
C1089,Private,Master's degree,38,31290,Far West,3043,51,17,88
C1090,Private,Bachelor's degree,55,10391,Southwest,6318,,,83
C1091,Private,Doctoral degree,73,33371,Southeast,2506,52,21,100
C1092,Private,Master's degree,92,37300,Southwest,8555,14,18,99
C1093,Private,Bachelor's degree,,32560,Southeast,10804,,,99
C1094,Private,Doctoral degree,79,31095,Mid East,922,,25,99
C1095,Private,Doctoral degree,76,5554,Far West,8675,29,21,88
C1096,Public,Doctoral degree,23,7457,Mid East,5763,43,18,84
C1097,Private,Master's degree,93,46165,Great Lakes,915,51,25,81
C1098,Private,Bachelor's degree,32,31716,Southeast,7423,26,24,80
C1099,Private,Master's degree,35,30690,Far West,40795,25,23,98
C1100,Public,Master's degree,8,46930,Great Lakes,8350,29,20,79
C1101,Private,Master's degree,72,27350,Southeast,1188,80,23,100
C1102,Private,Doctoral degree,48,13392,Mid East,16656,30,15,33
C1103,Private,Bachelor's degree,57,34788,Southeast,1661,6,18,100
C1104,Private,Doctoral degree,62,5916,Great Lakes,3893,15,17,96
C1105,Private,Doctoral degree,54,5938,Mid East,346,34,,96
C1106,Public,Master's degree,59,27930,Far West,6034,25,,100
C1107,Public,Master's degree,53,12097,Southeast,11247,25,19,90
C1108,Private,Bachelor's degree,,,Rocky Mountains,7098,21,,
C1109,Public,Master's degree,82,33480,Southeast,38325,24,20,92
C1110,Private,Doctoral degree,53,7400,Mid East,1386,59,17,87
C1111,Private,Doctoral degree,78,28932,Southeast,1833,64,,100
C1112,Private,Master's degree,79,13388,Plains,2285,14,19,78
C1113,Public,Master's degree,85,5415,Southeast,9313,22,15,99
C1114,Private,Doctoral degree,71,8550,Mid East,6820,24,26,82
C1115,Private,Master's degree,,7083,Mid East,2422,51,23,73
C1116,Private,Master's degree,67,5514,New England,5250,21,,93
C1117,Private,Bachelor's degree,99,9960,Great Lakes,7376,25,,97
C1118,Private,Doctoral degree,70,36020,Southeast,1898,55,28,97
C1119,Public,Master's degree,73,6972,Southeast,6436,45,18,63
C1120,Public,Master's degree,26,11681,Plains,40621,22,19,90
C1121,Public,Master's degree,71,19200,Mid East,13307,36,,100
C1122,Public,Bachelor's degree,69,,Plains,2314,36,17,
C1123,Public,Bachelor's degree,52,8160,Far West,4057,74,21,100
C1124,Public,Bachelor's degree,45,7222,Mid East,2993,36,23,87
C1125,Public,Bachelor's degree,88,26740,Southeast,2661,56,22,100
C1126,Public,Bachelor's degree,67,12584,Mid East,14035,31,27,93
C1127,Public,Bachelor's degree,70,11902,New England,911,32,20,83
C1128,Public,Bachelor's degree,60,7816,Plains,1356,35,28,86
C1129,Public,Doctoral degree,62,18740,Great Lakes,2619,22,21,99
C1130,Public,Bachelor's degree,74,35240,Great Lakes,1230,13,30,100
C1131,Public,Bachelor's degree,49,23938,Southeast,11358,24,,97
C1132,Public,Bachelor's degree,57,38952,Far West,2762,8,32,100
C1133,Public,Bachelor's degree,68,21200,Mid East,20743,22,18,100
C1134,Public,Doctoral degree,64,8256,Mid East,3027,65,19,92
C1135,Public,Master's degree,38,29377,Mid East,5195,33,15,98
C1136,Public,Bachelor's degree,51,35050,Southeast,4211,22,,95
C1137,Public,Bachelor's degree,72,38780,Southwest,740,,18,98
C1138,Public,Bachelor's degree,84,7094,Plains,1118,84,22,94
C1139,Public,Master's degree,64,7430,New England,1705,59,,59
C1140,Private,Master's degree,53,8968,Southeast,3011,90,19,87
C1141,Private,Doctoral degree,71,4790,Great Lakes,8129,37,17,87
C1142,Private,Doctoral degree,76,23170,Mid East,14925,,21,100
C1143,Private,Master's degree,55,23690,Far West,5561,29,,100
C1144,Public,Bachelor's degree,54,21300,Mid East,15065,18,21,98
C1145,Public,Bachelor's degree,100,23812,Plains,490,11,,92
C1146,Public,Bachelor's degree,,11277,Far West,6447,7,21,73
C1147,Public,Doctoral degree,71,25636,Southeast,892,22,21,99
C1148,Private,Master's degree,46,17211,Great Lakes,1084,0,18,95
C1149,Private,Doctoral degree,98,6317,Great Lakes,4660,34,21,96
C1150,Private,Master's degree,68,28090,Far West,215,29,,100
C1151,Private,Doctoral degree,34,24930,Southeast,2220,57,19,77
C1152,Private,Doctoral degree,64,10107,Mid East,1349,14,21,79
C1153,Private,Doctoral degree,64,13149,Southeast,2381,35,23,77
C1154,Private,Doctoral degree,78,8340,Mid East,2541,81,,68
C1155,Private,Master's degree,78,27042,Southeast,2812,87,20,100
C1156,Public,Master's degree,,13555,New England,4833,37,24,77
C1157,Public,Doctoral degree,48,33320,New England,1610,63,21,99
C1158,Private,Bachelor's degree,,40458,Great Lakes,4021,23,15,74
C1159,Private,Bachelor's degree,48,28852,Rocky Mountains,283,4,,100
C1160,Public,Doctoral degree,89,7186,Great Lakes,2384,34,,82
C1161,Private,Bachelor's degree,89,16024,Southeast,12624,51,30,98
C1162,Private,Bachelor's degree,,18230,Mid East,807,41,22,99
C1163,Private,Master's degree,91,9178,Southwest,229,45,15,96
C1164,Private,Doctoral degree,84,6752,Southeast,5131,30,17,87
C1165,Private,Bachelor's degree,77,8991,Far West,592,33,20,83
C1166,Private,Doctoral degree,67,6998,Southeast,2358,65,19,93
C1167,Public,Master's degree,56,22400,Plains,21267,76,17,100
C1168,Private,Master's degree,,28884,Great Lakes,351,44,18,94
C1169,Private,Doctoral degree,66,27840,Great Lakes,1065,44,20,100
C1170,Private,Doctoral degree,74,23210,Rocky Mountains,2045,23,,100
C1171,Private,Master's degree,70,30149,Southwest,13937,44,18,68
C1172,Private,Doctoral degree,,33320,Rocky Mountains,4140,63,22,100
C1173,Private,Doctoral degree,54,6816,Southeast,1647,0,18,86
C1174,Private,Master's degree,67,17418,Great Lakes,8019,22,21,100
C1175,Private,Doctoral degree,76,30350,Far West,30759,,17,96
C1176,Private,Master's degree,59,29589,Great Lakes,451,88,20,99
C1177,Private,Master's degree,70,20450,Southeast,48702,29,,94
C1178,Public,Doctoral degree,18,14730,Great Lakes,1366,36,27,83
C1179,Public,Doctoral degree,,10780,Rocky Mountains,11301,23,21,99
C1180,Private,Master's degree,23,6578,Southeast,2244,38,21,90
C1181,Private,Doctoral degree,87,6462,Southwest,8014,10,,67
C1182,Private,Bachelor's degree,81,27456,Southeast,7101,62,23,99
C1183,Private,Doctoral degree,30,45446,Far West,3806,21,18,50
C1184,Private,Master's degree,72,44718,Mid East,24414,32,,59
C1185,Private,Bachelor's degree,,6248,New England,1045,22,19,96
C1186,Private,Master's degree,52,37162,Mid East,140,17,,100
C1187,Public,Master's degree,61,9470,Great Lakes,1233,72,22,97
C1188,Public,Master's degree,72,39550,Far West,1852,4,21,89
C1189,Private,Master's degree,88,6642,Far West,4353,13,18,84
C1190,Public,Doctoral degree,58,41494,Far West,1704,60,21,100
C1191,Private,Master's degree,,5337,Far West,715,59,17,92
C1192,Private,Doctoral degree,85,,Southeast,10112,33,16,
C1193,Private,Master's degree,67,21842,Plains,7422,12,,99
C1194,Private,Master's degree,,23530,Mid East,8128,18,,100
C1195,Private,Doctoral degree,,27914,Great Lakes,893,47,19,100
C1196,Public,Master's degree,81,15901,Southeast,278,42,24,100
C1197,Private,Master's degree,79,7947,Mid East,1118,17,18,92
C1198,Public,Master's degree,36,25114,Mid East,1328,20,27,100
C1199,Private,Master's degree,63,30740,Southeast,2640,49,20,100
C1200,Private,Bachelor's degree,,6628,Mid East,1065,17,18,79
C1201,Private,Bachelor's degree,97,39450,Mid East,20053,,22,100
C1202,Private,Doctoral degree,76,6923,Plains,2436,89,,91
C1203,Private,Doctoral degree,,33000,Great Lakes,270,59,,95
C1204,Public,Master's degree,85,28250,Southeast,27897,22,28,100
C1205,Public,Bachelor's degree,66,7368,Far West,955,5,18,99
C1206,Public,Doctoral degree,71,45856,Great Lakes,1110,31,,65
C1207,Public,Master's degree,55,35756,Southwest,3414,4,20,77
C1208,Public,Doctoral degree,83,8730,Great Lakes,10399,47,16,88
C1209,Public,Master's degree,60,35835,Great Lakes,8546,37,19,99
C1210,Private,Bachelor's degree,84,30690,New England,1512,9,22,100
C1211,Public,Master's degree,,38400,Southeast,481,21,,92
C1212,Private,Bachelor's degree,55,7234,Mid East,932,17,,62
C1213,Private,Master's degree,90,25516,Great Lakes,1618,59,21,96
C1214,Public,Master's degree,60,21878,Great Lakes,3434,40,15,96
C1215,Public,Doctoral degree,59,17830,Southeast,19210,15,,99
C1216,Private,Master's degree,53,9450,Mid East,15227,31,25,75
C1217,Private,Master's degree,46,12740,Southeast,10369,90,20,99
C1218,Public,Master's degree,,5856,Southwest,2078,39,20,86
C1219,Private,Bachelor's degree,57,6210,Great Lakes,1748,29,,70
C1220,Public,Doctoral degree,88,6045,Plains,4257,16,26,89
C1221,Private,Master's degree,57,16950,Great Lakes,679,15,18,98
C1222,Public,Doctoral degree,61,30758,Mid East,1892,26,21,98
C1223,Private,Master's degree,72,37100,Mid East,690,14,23,98
C1224,Public,Master's degree,59,28095,Plains,5368,27,20,94
C1225,Private,Doctoral degree,22,,Plains,14309,41,,
C1226,Private,Master's degree,82,28504,Plains,15331,50,21,100
C1227,Private,Master's degree,42,20200,Mid East,1501,8,,90
C1228,Private,Doctoral degree,64,28020,Mid East,3551,9,17,99
C1229,Private,Master's degree,59,28926,Southeast,2684,43,22,94
C1230,Private,Master's degree,58,30924,Plains,4969,18,,100
C1231,Private,Doctoral degree,,,Great Lakes,33917,72,17,
C1232,Public,Doctoral degree,50,46625,Great Lakes,6080,23,17,88
C1233,Private,Master's degree,87,,Far West,1154,24,,
C1234,Private,Bachelor's degree,48,30300,Great Lakes,1070,10,,100
C1235,Private,Master's degree,80,33650,Great Lakes,1681,24,19,100
C1236,Private,Master's degree,95,35270,Far West,847,38,24,98
C1237,Private,Bachelor's degree,36,25550,Far West,2147,50,15,100
C1238,Private,Bachelor's degree,84,9840,Far West,4404,16,21,100
C1239,Private,Master's degree,76,6241,Plains,4665,41,23,77
C1240,Private,Doctoral degree,32,9798,Great Lakes,2297,21,23,63
C1241,Private,Bachelor's degree,97,38200,Plains,874,30,17,99
C1242,Private,Bachelor's degree,81,7563,Southwest,3711,36,26,97
C1243,Public,Doctoral degree,14,9950,Southwest,8321,41,15,87
C1244,Public,Doctoral degree,54,7946,Southeast,32165,82,23,95
C1245,Private,Master's degree,57,14240,Great Lakes,1307,33,21,81
C1246,Private,Master's degree,93,46167,Mid East,13868,30,21,77
C1247,Private,Doctoral degree,78,26310,Southeast,2767,4,19,85
C1248,Private,Doctoral degree,62,25000,Southwest,6736,57,,99
C1249,Private,Master's degree,73,31560,Far West,2062,27,29,100
C1250,Public,Doctoral degree,,32375,New England,12772,13,,97
C1251,Public,Doctoral degree,61,6192,Far West,8954,66,17,94
C1252,Public,Master's degree,57,8061,Mid East,1903,59,17,83
C1253,Public,Doctoral degree,82,7536,Mid East,39540,39,,97
C1254,Public,Doctoral degree,41,13550,Plains,1159,30,20,93
C1255,Private,Doctoral degree,42,9176,Southeast,2315,86,17,60
C1256,Private,Master's degree,83,24566,Far West,362,47,17,99
C1257,Private,Doctoral degree,43,31000,Southeast,1124,,17,100
C1258,Private,Doctoral degree,71,5144,Mid East,1811,31,21,92
C1259,Private,Doctoral degree,66,36465,Southeast,1795,33,23,96
C1260,Public,Doctoral degree,77,7933,Plains,12723,87,15,71
C1261,Private,Master's degree,83,25160,Southeast,1512,37,18,99
C1262,Private,Doctoral degree,91,7429,Rocky Mountains,6371,18,21,81
C1263,Private,Master's degree,54,6032,Great Lakes,738,24,,91
C1264,Public,Doctoral degree,78,37260,New England,1431,71,,98
